name,link,number of times bought,price
Car Dashboard Digital LCD Clock Calendar,https://www.cigabuy.com/car-dashboard-digital-lcd-clock-calendar-p-20932.html,(0),$1.60
Frosted Mini M20 USB2.0 1000dpi Wired Mouse,https://www.cigabuy.com/frosted-mini-m20-usb20-1000dpi-wired-mouse-p-21410.html,(0),$0.99
BASEUS Metal Cable w/ Indicator 8Pin 2A Fast Charging/ Data Sync,https://www.cigabuy.com/baseus-metal-cable-w-indicator-8pin-2a-fast-charging-data-sync-p-21417.html,(0),$3.02
Ergonomic Wired Mouse Vertical Optical Gaming Mause,https://www.cigabuy.com/ergonomic-wired-mouse-vertical-optical-gaming-mause-p-21432.html,(0),$4.24
BS118 Bluetooth Speaker Dual Loudpeakers Subwoofer Outdoor Portable TF FM USB,https://www.cigabuy.com/bs118-bluetooth-speaker-dual-loudpeakers-subwoofer-outdoor-portable-tf-fm-usb-p-21451.html,(0),$5.48
Mens Nylon Belts Alloy Buckle Waistband Casual Canvas Jeans Belts,https://www.cigabuy.com/mens-nylon-belts-alloy-buckle-waistband-casual-canvas-jeans-belts-p-21454.html,(0),$1.80
H96 Mini H6 4GB+128GB Android 9.0 TV Box Allwinner H6 Quad Core 6K H.265 Wifi HD,https://www.cigabuy.com/h96-mini-h6-4gb128gb-android-90-tv-box-allwinner-h6-quad-core-6k-h265-wifi-hd-p-21459.html,(0),$41.72
DT58 Blood Oxygen Pressure Smart Bracelet,https://www.cigabuy.com/dt58-blood-oxygen-pressure-smart-bracelet-p-21464.html,(0),$17.67
LED Smart Wristband 3D Pedometer Activity Tracker Sleep Heart Rate Monitor,https://www.cigabuy.com/led-smart-wristband-3d-pedometer-activity-tracker-sleep-heart-rate-monitor-p-21579.html,(0),$3.56
W30 IP67 Smart Watch Heart Rate Monitor Fitness Tracker Smart Wristband  - B,https://www.cigabuy.com/w30-ip67-smart-watch-heart-rate-monitor-fitness-tracker-smart-wristband-b-p-21584.html,(0),$5.93
L8 1.22''Round Screen Smart Watch Sports BT 4.0 IP68 ECG Blood Pressure Monitor,https://www.cigabuy.com/l8-122round-screen-smart-watch-sports-bt-40-ip68-ecg-blood-pressure-monitor-p-21609.html,(0),$11.85
Men Women Outdoor Sports Running Wireless Bluetooth Earphone,https://www.cigabuy.com/men-women-outdoor-sports-running-wireless-bluetooth-earphone-p-21664.html,(0),$4.77
F9-5 TWS Wireless Earphones Bluetooth 5.0 Stereo Bass LED Display Earbuds w Mic,https://www.cigabuy.com/f9-5-tws-wireless-earphones-bluetooth-50-stereo-bass-led-display-earbuds-w-mic-p-21671.html,(0),$8.34
Sothing Mosquito Swatter Portable Rechargeable Electric Mosquito Killer,https://www.cigabuy.com/sothing-mosquito-swatter-portable-rechargeable-electric-mosquito-killer-p-18666.html,(0),$6.92
IP67 P8 Smart Watch Wristband Men Women Monitor Smartwatch Tracker For Phone,https://www.cigabuy.com/ip67-p8-smart-watch-wristband-men-women-monitor-smartwatch-tracker-for-phone-p-18585.html,(0),$15.03
1/4/6 pcs Pill Box Organizer w/ 7 Single Box and 4 Daily Organizer Color Random,https://www.cigabuy.com/146-pcs-pill-box-organizer-w-7-single-box-and-4-daily-organizer-color-random-p-20814.html,(0),$1.40
New Auto Car Shark Fin Universal Roof Antenna Radio FM,https://www.cigabuy.com/new-auto-car-shark-fin-universal-roof-antenna-radio-fm-p-20910.html,(0),$1.60
TOPROAD Portable HiFi Wireless Bluetooth Speaker Wooden Bass Altavoz,https://www.cigabuy.com/toproad-portable-hifi-wireless-bluetooth-speaker-wooden-bass-altavoz-p-21420.html,(0),$12.79
Original Xiaomi Piston Basic Edition In-ear Headset Earphone w/ Mic,https://www.cigabuy.com/original-xiaomi-piston-basic-edition-in-ear-headset-earphone-w-mic-p-19823.html,(0),$7.59
3-LED Telescopic Flexible Extending Torch Magnetized Head Finder Tool,https://www.cigabuy.com/3-led-telescopic-flexible-extending-torch-magnetized-head-finder-tool-p-12044.html,(0),$2.40
Baellerry Men Long Fashion Wallets Desigh Zipper Card Holder Leather Purse,https://www.cigabuy.com/baellerry-men-long-fashion-wallets-desigh-zipper-card-holder-leather-purse-p-18784.html,(0),$5.38
Bluetooth Headphone Kissral Wireless Sport Earbud,https://www.cigabuy.com/bluetooth-headphone-kissral-wireless-sport-earbud-p-19727.html,(0),$1.19
F1 In Ear/ Earhook Earphones IP5X Waterproof Headphone Super Bass Sport Headset,https://www.cigabuy.com/f1-in-ear-earhook-earphones-ip5x-waterproof-headphone-super-bass-sport-headset-p-19779.html,(0),$3.57
Work Light Portable Flashlight 360°-Rotating Hook Magnetic Base,https://www.cigabuy.com/work-light-portable-flashlight-360°-rotating-hook-magnetic-base-p-20803.html,(0),$2.66
H96-P DLP Amlogic S905 Android 6.0 2G 16G 854x480 TF Card BT 4.0 WiFi Projector,https://www.cigabuy.com/h96-dlp-amlogic-s905-android-60-2g-16g-854x480-tf-card-bt-40-wifi-projector-p-21401.html,(0),$105.67
Short Purse Wallets for Men with Checkbook Holder Slim Purse Money Clip Wallet,https://www.cigabuy.com/short-purse-wallets-for-men-with-checkbook-holder-slim-purse-money-clip-wallet-p-21501.html,(0),$4.04
Oulm 3364 Wristwatch Casual Square Dial Wide Strap Men Quartz Watch Luxury Brand,https://www.cigabuy.com/oulm-3364-wristwatch-casual-square-dial-wide-strap-men-quartz-watch-luxury-brand-p-21593.html,(0),$2.37
HBQ i7 TWS Wireless Bluetooth Headphone V4.2 Binaural Earphone,https://www.cigabuy.com/hbq-i7-tws-wireless-bluetooth-headphone-v42-binaural-earphone-p-21660.html,(0),$2.38
Shini Q940 3.5mm Sport Headset Ear Hook For Cell Phone,https://www.cigabuy.com/shini-q940-35mm-sport-headset-ear-hook-for-cell-phone-p-21662.html,(0),$1.19
S610 Portable Outdoor Waterproof Bluetooth Speaker,https://www.cigabuy.com/s610-portable-outdoor-waterproof-bluetooth-speaker-p-21738.html,(0),$14.18
Baseus Mini USB Rechargeable Fan Clip-on Fan 360° Rotation Portable Desktop Fan,https://www.cigabuy.com/baseus-mini-usb-rechargeable-fan-clip-on-fan-360°-rotation-portable-desktop-fan-p-21134.html,(0),$4.81
1/2/4 pcs EU Plug Digital Display Energy Saving Timer Programmable Timer Socket,https://www.cigabuy.com/124-pcs-eu-plug-digital-display-energy-saving-timer-programmable-timer-socket-p-17563.html,(0),$2.94
E14 In-ear style 3.5mm Hifi Super Bass Wired Earphone with Microphone,https://www.cigabuy.com/e14-in-ear-style-35mm-hifi-super-bass-wired-earphone-with-microphone-p-19784.html,(0),$1.19
Coffee Cake Spoon Fork Teaspoon Set with 5Spoon+5Forks - Gold,https://www.cigabuy.com/coffee-cake-spoon-fork-teaspoon-set-with-5spoon5forks-gold-p-21301.html,(0),$3.01
Swan Base Holder Dinnerware Set with 10 Forks - Gold,https://www.cigabuy.com/swan-base-holder-dinnerware-set-with-10-forks-gold-p-21310.html,(0),$6.70
Coffee Cake Spoon Fork Teaspoon Set with 5Spoon+5Forks - Rose Gold,https://www.cigabuy.com/coffee-cake-spoon-fork-teaspoon-set-with-5spoon5forks-rose-gold-p-21315.html,(0),$3.01
2 in 1 Cycling Eyewear Bicycle Sunglasses Outdoor Sport Glasses + Camcorder,https://www.cigabuy.com/2-in-1-cycling-eyewear-bicycle-sunglasses-outdoor-sport-glasses-camcorder-p-21406.html,(0),$3.99
Swan Base Holder Dinnerware Set with 5 Forks and 5 Spoons - Gold,https://www.cigabuy.com/swan-base-holder-dinnerware-set-with-5-forks-and-5-spoons-gold-p-21308.html,(0),$6.70
Electric Mini Hand Drill Rotary Metal Wood Engraver Grinder Polishing Machine,https://www.cigabuy.com/electric-mini-hand-drill-rotary-metal-wood-engraver-grinder-polishing-machine-p-19230.html,(0),$10.76
YL-6S Wireless Bluetooth Earphone In-ear Earbuds Waterproof HD Call Headset,https://www.cigabuy.com/yl-6s-wireless-bluetooth-earphone-in-ear-earbuds-waterproof-hd-call-headset-p-18835.html,(0),$5.96
S36 Earphone Heavy Bass In-Ear Earphones Music Headset Microphone 3.5mm,https://www.cigabuy.com/s36-earphone-heavy-bass-in-ear-earphones-music-headset-microphone-35mm-p-19796.html,(0),$1.19
Mens Womens Money Clip PU Leather Wallet Ultra Slim Credit Card Holder Pouch,https://www.cigabuy.com/mens-womens-money-clip-pu-leather-wallet-ultra-slim-credit-card-holder-pouch-p-20850.html,(0),$2.51
10pcs Stainless Steel Leaf Fruit Forks Set - Gold,https://www.cigabuy.com/10pcs-stainless-steel-leaf-fruit-forks-set-gold-p-21302.html,(0),$3.01
Swan Base Holder Dinnerware Set with 10 Spoons - Silver,https://www.cigabuy.com/swan-base-holder-dinnerware-set-with-10-spoons-silver-p-21312.html,(0),$5.18
XT-8 In-ear Bluetooth Earphone Wireless Headphones Double Sided Sport Earphones,https://www.cigabuy.com/xt-8-in-ear-bluetooth-earphone-wireless-headphones-double-sided-sport-earphones-p-21407.html,(0),$1.19
BT313 Bluetooth 4.1 Earphone Wireless Earphones Magnetic Sport Ear Phones,https://www.cigabuy.com/bt313-bluetooth-41-earphone-wireless-earphones-magnetic-sport-ear-phones-p-21666.html,(0),$3.57
Y5 Color Screen Wristband Watch Smart Electronics Bracelet,https://www.cigabuy.com/y5-color-screen-wristband-watch-smart-electronics-bracelet-p-21131.html,(0),$3.56
1M Magnetic Nylon Charge/Data Cable +Detachable Micro USB Metal Plug,https://www.cigabuy.com/1m-magnetic-nylon-chargedata-cable-detachable-micro-usb-metal-plug-p-20791.html,(0),$1.40
D-LINK DIR-850L 1200Mbps Dual Band Gigabit Cloud Wifi Router,https://www.cigabuy.com/d-link-dir-850l-1200mbps-dual-band-gigabit-cloud-wifi-router-p-19897.html,(0),$59.05
Coffee Cake Spoon Fork Teaspoon Set with 5Spoon+5Forks - Silver,https://www.cigabuy.com/coffee-cake-spoon-fork-teaspoon-set-with-5spoon5forks-silver-p-21305.html,(1),$2.57
In-ear style 3.5mm Super Bass Universal Earphone Wired Sport Earphone with Mic,https://www.cigabuy.com/in-ear-style-35mm-super-bass-universal-earphone-wired-sport-earphone-with-mic-p-19747.html,(0),$0.99
"SJ4000 1.5"" LCD Screen 12MP 1080P Waterproof Sports Camera",https://www.cigabuy.com/sj4000-15-lcd-screen-12mp-1080p-waterproof-sports-camera-p-19896.html,(0),$30.32
LED Solar Charging Flashlight – 3 Light Modes,https://www.cigabuy.com/led-solar-charging-flashlight-–-3-light-modes-p-21500.html,(0),$5.23
Earphone Storage Bag Mobile Phone Data USB Cable Charger Organizer Bag,https://www.cigabuy.com/earphone-storage-bag-mobile-phone-data-usb-cable-charger-organizer-bag-p-21657.html,(0),$1.19
HI762 Chromecast Miracast DLNA WiFi Display Dongle,https://www.cigabuy.com/hi762-chromecast-miracast-dlna-wifi-display-dongle-p-20789.html,(0),$18.48
Sports Style Earphone In Ear Waterproof and Sweat-proof 3.5mm Jack,https://www.cigabuy.com/sports-style-earphone-in-ear-waterproof-and-sweat-proof-35mm-jack-p-20808.html,(0),$1.19
3W LED COB Flashlight 160LM 2 Modes Flashlights & Torches,https://www.cigabuy.com/3w-led-cob-flashlight-160lm-2-modes-flashlights-torches-p-20901.html,(0),$1.19
i7s TWS Bluetooth V4.1 Earphones with Charging Case – Camouflage Color,https://www.cigabuy.com/i7s-tws-bluetooth-v41-earphones-with-charging-case-–-camouflage-color-p-21413.html,(0),$2.38
Piston Classic In-Ear Headphones for XIAOMI 1 More,https://www.cigabuy.com/piston-classic-in-ear-headphones-for-xiaomi-1-more-p-21452.html,(0),$0.99
In Ear / Earhook Style Earphones IP5X Waterproof Headphone HiFi Super Bass,https://www.cigabuy.com/in-ear-earhook-style-earphones-ip5x-waterproof-headphone-hifi-super-bass-p-21659.html,(0),$2.38
Baellerry Canvas Men Wallet Long Clutch Card Purse Phone Bag with Coin Pocket,https://www.cigabuy.com/baellerry-canvas-men-wallet-long-clutch-card-purse-phone-bag-with-coin-pocket-p-18477.html,(0),$3.92
ELECAM Explorer Pro 4K@24fps NTK96660 Wi-Fi 12MP Sports Camera,https://www.cigabuy.com/elecam-explorer-pro-4k24fps-ntk96660-wi-fi-12mp-sports-camera-p-19742.html,(0),$73.42
K08 Wireless Headphone Bluetooth5.0 Bone Conduction Headsets Wireless,https://www.cigabuy.com/k08-wireless-headphone-bluetooth50-bone-conduction-headsets-wireless-p-19739.html,(0),$5.96
Waterproof Bluetooth V3.0 Shower Hands-free Mic Suction Speaker,https://www.cigabuy.com/waterproof-bluetooth-v30-shower-hands-free-mic-suction-speaker-p-10830.html,(0),$1.19
Men Short Wallets PU Leather Zipper Buckle Coin Purse,https://www.cigabuy.com/men-short-wallets-pu-leather-zipper-buckle-coin-purse-p-19214.html,(0),$3.84
Sports Wireless Bluetooth V3.0 Music Headsets Headphones w/ Mic,https://www.cigabuy.com/sports-wireless-bluetooth-v30-music-headsets-headphones-w-mic-p-19756.html,(0),$2.30
Xiaomi Pizza Cutter Stainless Steel Cake Knife Pizza Wheels knife Removable,https://www.cigabuy.com/xiaomi-pizza-cutter-stainless-steel-cake-knife-pizza-wheels-knife-removable-p-19287.html,(0),$7.50
JBMMJ MJ100 Earphone Metal In-Ear 3.5mm Earbuds Aluminum Alloy Superb Sound,https://www.cigabuy.com/jbmmj-mj100-earphone-metal-in-ear-35mm-earbuds-aluminum-alloy-superb-sound-p-19770.html,(0),$1.19
Swan Base Holder Dinnerware Set with 10 Forks - Silver,https://www.cigabuy.com/swan-base-holder-dinnerware-set-with-10-forks-silver-p-21311.html,(0),$5.18
Business Wallets Men's Purse Multifunction Pockets Casual Clutch Male Purse,https://www.cigabuy.com/business-wallets-mens-purse-multifunction-pockets-casual-clutch-male-purse-p-20872.html,(0),$1.40
Modern Style LED Wall Lamp Sconce Indoor Lighting Fixtures,https://www.cigabuy.com/modern-style-led-wall-lamp-sconce-indoor-lighting-fixtures-p-20890.html,(0),$0.99
Smart Digital Alarm Clock Large LCD Screen Big Digit Backlit,https://www.cigabuy.com/smart-digital-alarm-clock-large-lcd-screen-big-digit-backlit-p-20921.html,(0),$3.44
10pcs Coffee Spoon Tableware Dessert Spoons Set - Gold,https://www.cigabuy.com/10pcs-coffee-spoon-tableware-dessert-spoons-set-gold-p-21303.html,(0),$3.01
S23 Smart Watch Outdoor Sports Time GPS Tracker Riding Mode IP67,https://www.cigabuy.com/s23-smart-watch-outdoor-sports-time-gps-tracker-riding-mode-ip67-p-21394.html,(0),$5.93
M3 Plus Waterproof 3D Dynamic UI Interface Smart Wristband,https://www.cigabuy.com/m3-plus-waterproof-3d-dynamic-ui-interface-smart-wristband-p-21423.html,(0),$4.44
SKMEI 1376 Cartoon Car Kids Digital Watch,https://www.cigabuy.com/skmei-1376-cartoon-car-kids-digital-watch-p-21586.html,(0),$1.19
SANDA Quartz Watch Men Watches Business Brand Wristwatch Male Wrist Watch,https://www.cigabuy.com/sanda-quartz-watch-men-watches-business-brand-wristwatch-male-wrist-watch-p-21591.html,(0),$3.56
Children Cartoon Cat Ear Style Headset shining Folding Headphone,https://www.cigabuy.com/children-cartoon-cat-ear-style-headset-shining-folding-headphone-p-21669.html,(0),$5.96
No.1 Smartband F4 IP68 Heart Rate Sedentary Reminder Remote Camera Pedometer,https://www.cigabuy.com/no1-smartband-f4-ip68-heart-rate-sedentary-reminder-remote-camera-pedometer-p-19723.html,(0),$20.39
Bluetooth 4.1 Headphone Wireless Mini Invisible In-Ear Bluetooth Earbud With Mic,https://www.cigabuy.com/bluetooth-41-headphone-wireless-mini-invisible-in-ear-bluetooth-earbud-with-mic-p-19726.html,(0),$1.19
Electric Makeup Brush Cleaner & Dryer Set Make up Brushes Washing Tool,https://www.cigabuy.com/electric-makeup-brush-cleaner-dryer-set-make-up-brushes-washing-tool-p-14109.html,(0),$6.59
TW40 Bluetooth Headset 5.0 Wireless Headphones Sports Black Science Earbuds,https://www.cigabuy.com/tw40-bluetooth-headset-50-wireless-headphones-sports-black-science-earbuds-p-19222.html,(0),$9.53
Smart Wireless Bluetooth Stereo Headset Headphone with MIC,https://www.cigabuy.com/smart-wireless-bluetooth-stereo-headset-headphone-with-mic-p-19314.html,(0),$7.15
Mini PVC 9 LED Flashlight with Tail on/ off Button,https://www.cigabuy.com/mini-pvc-9-led-flashlight-with-tail-on-off-button-p-20914.html,(0),$0.85
HY-218 USB Powered Multimedia Stereo Audio Speakers,https://www.cigabuy.com/hy-218-usb-powered-multimedia-stereo-audio-speakers-p-20928.html,(0),$18.02
G189 Optical Mute Mouse Mice for Computer PC,https://www.cigabuy.com/g189-optical-mute-mouse-mice-for-computer-pc-p-21189.html,(0),$3.43
10pcs Stainless Steel Leaf Fruit Forks Set - Rose Gold,https://www.cigabuy.com/10pcs-stainless-steel-leaf-fruit-forks-set-rose-gold-p-21314.html,(0),$3.01
Portable Mini C6 Wireless Bluetooth Speaker Waterproof IP 65 Wireless Speaker,https://www.cigabuy.com/portable-mini-c6-wireless-bluetooth-speaker-waterproof-ip-65-wireless-speaker-p-21418.html,(0),$3.23
BT-1 Wireless Bluetooth 4.1 Earphone Handsfree Headphones With Mic Smartphones,https://www.cigabuy.com/bt-1-wireless-bluetooth-41-earphone-handsfree-headphones-with-mic-smartphones-p-21456.html,(0),$1.19
