name,link,number of times bought,price
SOOCOO S80 1.5'' 1080P Action Camera Waterproof Build-in WIFI Sports Cam DV,https://www.cigabuy.com/soocoo-s80-15-1080p-action-camera-waterproof-build-in-wifi-sports-cam-dv-p-21403.html,(0),$14.97
Wireless Earphones TWS Wireless Bluetooth 5.0 LED Display Waterproof Headphone,https://www.cigabuy.com/wireless-earphones-tws-wireless-bluetooth-50-led-display-waterproof-headphone-p-19734.html,(0),$9.53
W16 TWS In-ear Bluetooth Earphone Digital Display Touch Wireless Earbuds,https://www.cigabuy.com/w16-tws-in-ear-bluetooth-earphone-digital-display-touch-wireless-earbuds-p-19482.html,(0),$8.34
Super Mini Bluetooth V4.1 Earbud S650 Invisible Earphone HD Sound,https://www.cigabuy.com/super-mini-bluetooth-v41-earbud-s650-invisible-earphone-hd-sound-p-21414.html,(0),$1.19
3.5mm Stereo Woven Fiber Cloth Line Headset,https://www.cigabuy.com/35mm-stereo-woven-fiber-cloth-line-headset-p-21661.html,(0),$1.19
1/2/4/6 pair Garden Genie Gloves with Claws for Digging and Planting,https://www.cigabuy.com/1246-pair-garden-genie-gloves-with-claws-for-digging-and-planting-p-14292.html,(0),$0.99
Battery Tester Digital Capacity Tester Checker Power Supply Tester,https://www.cigabuy.com/battery-tester-digital-capacity-tester-checker-power-supply-tester-p-18710.html,(0),$4.24
Baellerry Men PU Leather Functional Long Wallet Vintage Purse Clutch Bag,https://www.cigabuy.com/baellerry-men-pu-leather-functional-long-wallet-vintage-purse-clutch-bag-p-18920.html,(0),$4.34
QCY T1 PRO TWS Dual Bluetooth Earphones IPX4 Waterproof Headphones,https://www.cigabuy.com/qcy-t1-pro-tws-dual-bluetooth-earphones-ipx4-waterproof-headphones-p-13806.html,(1),$11.92
XIAOMI MIJIA Microhoo Mini Air Conditioner Fan Personal Portable USB Air Cooler,https://www.cigabuy.com/xiaomi-mijia-microhoo-mini-air-conditioner-fan-personal-portable-usb-air-cooler-p-18924.html,(0),$25.54
Baellerry PU Leather Removable Wrist Strap Multi-function Vintage Men Wallets,https://www.cigabuy.com/baellerry-pu-leather-removable-wrist-strap-multi-function-vintage-men-wallets-p-18668.html,(0),$4.26
Portable Bluetooth Speaker Loud Stereo Sound Waterproof IP67 Outdoor Speaker,https://www.cigabuy.com/portable-bluetooth-speaker-loud-stereo-sound-waterproof-ip67-outdoor-speaker-p-21466.html,(0),$15.83
GASON A2 Electronic Digital  LCD Scale Large Glass Screen Backlit Display 400lb,https://www.cigabuy.com/gason-a2-electronic-digital-lcd-scale-large-glass-screen-backlit-display-400lb-p-21730.html,(0),$1.18
30W Portable USB Charging LED Night Light COB Spot Rechargeable Solar COB Light,https://www.cigabuy.com/30w-portable-usb-charging-led-night-light-cob-spot-rechargeable-solar-cob-light-p-21447.html,(0),$4.04
DUBERY 163 Polarized Sunglasses Men Driving Shades Male Retro Sun Glasses,https://www.cigabuy.com/dubery-163-polarized-sunglasses-men-driving-shades-male-retro-sun-glasses-p-18838.html,(0),$4.99
DUBERY Vintage Sunglasses Polarized Men's Sun Glasses For Men,https://www.cigabuy.com/dubery-vintage-sunglasses-polarized-mens-sun-glasses-for-men-p-18476.html,(0),$4.99
Men Anti Theft Chest Bag Shoulder Crossbody Bag School Summer Trip Bag A Left,https://www.cigabuy.com/men-anti-theft-chest-bag-shoulder-crossbody-bag-school-summer-trip-bag-left-p-18832.html,(0),$3.29
Super Mini BluetoothV4.1+EDR Earbud HD Sound Simple Style,https://www.cigabuy.com/super-mini-bluetoothv41edr-earbud-hd-sound-simple-style-p-19768.html,(0),$1.18
